source,target,length,max_speed,is_priority_road,is_one_way,patch_id,tags
N9-0,N8-0,500,50,false,false,P3-0,
N9-0,N10-0,500,50,false,false,P3-0,
N10-0,N9-0,500,50,false,false,P3-0,
N10-0,N11-0,500,50,false,false,P3-0,
N11-0,N10-0,500,50,false,false,P3-0,
N11-0,N12-0,500,50,false,false,P3-0,
N12-0,N11-0,500,50,false,false,P4-0,
N12-0,N13-0,500,50,false,false,P4-0,
N13-0,N12-0,500,50,false,false,P4-0,
N13-0,N14-0,500,50,false,false,P4-0,
N14-0,N13-0,500,50,false,false,P4-0,
N14-0,N15-0,500,50,false,false,P4-0,
N15-0,N14-0,500,50,false,false,P5-0,
N15-0,N16-0,500,50,false,false,P5-0,
N16-0,N15-0,500,50,false,false,P5-0,
N16-0,N17-0,500,50,false,false,P5-0,
N17-0,N16-0,500,50,false,false,P5-0,
N0-1,N1-1,500,50,false,false,P0-0,
N1-1,N0-1,500,50,false,false,P0-0,
N1-1,N2-1,500,50,false,false,P0-0,
N2-1,N1-1,500,50,false,false,P0-0,
N2-1,N3-1,500,50,false,false,P0-0,
N3-1,N2-1,500,50,false,false,P1-0,
N3-1,N4-1,500,50,false,false,P1-0,
N4-1,N3-1,500,50,false,false,P1-0,
N4-1,N5-1,500,50,false,false,P1-0,
N5-1,N4-1,500,50,false,false,P1-0,
N5-1,N6-1,500,50,false,false,P1-0,
N6-1,N5-1,500,50,false,false,P2-0,
N6-1,N7-1,500,50,false,false,P2-0,
N7-1,N6-1,500,50,false,false,P2-0,
N7-1,N8-1,500,50,false,false,P2-0,
N8-1,N7-1,500,50,false,false,P2-0,
N8-1,N9-1,500,50,false,false,P2-0,
N9-1,N8-1,500,50,false,false,P3-0,
N9-1,N10-1,500,50,false,false,P3-0,
N10-1,N9-1,500,50,false,false,P3-0,
N10-1,N11-1,500,50,false,false,P3-0,
N11-1,N10-1,500,50,false,false,P3-0,
N11-1,N12-1,500,50,false,false,P3-0,
N12-1,N11-1,500,50,false,false,P4-0,
N12-1,N13-1,500,50,false,false,P4-0,
N13-1,N12-1,500,50,false,false,P4-0,
N13-1,N14-1,500,50,false,false,P4-0,
N14-1,N13-1,500,50,false,false,P4-0,
N14-1,N15-1,500,50,false,false,P4-0,
N15-1,N14-1,500,50,false,false,P5-0,
N15-1,N16-1,500,50,false,false,P5-0,
N16-1,N15-1,500,50,false,false,P5-0,
N16-1,N17-1,500,50,false,false,P5-0,
N17-1,N16-1,500,50,false,false,P5-0,
N0-2,N1-2,500,50,false,false,P0-0,
N1-2,N0-2,500,50,false,false,P0-0,
N1-2,N2-2,500,50,false,false,P0-0,
N2-2,N1-2,500,50,false,false,P0-0,
N2-2,N3-2,500,50,false,false,P0-0,
N3-2,N2-2,500,50,false,false,P1-0,
N3-2,N4-2,500,50,false,false,P1-0,
N4-2,N3-2,500,50,false,false,P1-0,
N4-2,N5-2,500,50,false,false,P1-0,
N5-2,N4-2,500,50,false,false,P1-0,
N5-2,N6-2,500,50,false,false,P1-0,
N6-2,N5-2,500,50,false,false,P2-0,
N6-2,N7-2,500,50,false,false,P2-0,
N7-2,N6-2,500,50,false,false,P2-0,
N7-2,N8-2,500,50,false,false,P2-0,
N8-2,N7-2,500,50,false,false,P2-0,
N8-2,N9-2,500,50,false,false,P2-0,
N9-2,N8-2,500,50,false,false,P3-0,
N9-2,N10-2,500,50,false,false,P3-0,
N10-2,N9-2,500,50,false,false,P3-0,
N10-2,N11-2,500,50,false,false,P3-0,
N11-2,N10-2,500,50,false,false,P3-0,
N11-2,N12-2,500,50,false,false,P3-0,
N12-2,N11-2,500,50,false,false,P4-0,
N12-2,N13-2,500,50,false,false,P4-0,
N13-2,N12-2,500,50,false,false,P4-0,
N13-2,N14-2,500,50,false,false,P4-0,
N14-2,N13-2,500,50,false,false,P4-0,
N14-2,N15-2,500,50,false,false,P4-0,
N15-2,N14-2,500,50,false,false,P5-0,
N15-2,N16-2,500,50,false,false,P5-0,
N16-2,N15-2,500,50,false,false,P5-0,
N16-2,N17-2,500,50,false,false,P5-0,
N17-2,N16-2,500,50,false,false,P5-0,
N0-3,N1-3,500,50,false,false,P0-1,
N1-3,N0-3,500,50,false,false,P0-1,
N1-3,N2-3,500,50,false,false,P0-1,
N2-3,N1-3,500,50,false,false,P0-1,
N2-3,N3-3,500,50,false,false,P0-1,
N3-3,N2-3,500,50,false,false,P1-1,
N3-3,N4-3,500,50,false,false,P1-1,
N4-3,N3-3,500,50,false,false,P1-1,
N4-3,N5-3,500,50,false,false,P1-1,
N5-3,N4-3,500,50,false,false,P1-1,
N5-3,N6-3,500,50,false,false,P1-1,
N6-3,N5-3,500,50,false,false,P2-1,
N6-3,N7-3,500,50,false,false,P2-1,
N7-3,N6-3,500,50,false,false,P2-1,
N7-3,N8-3,500,50,false,false,P2-1,
N8-3,N7-3,500,50,false,false,P2-1,
N8-3,N9-3,500,50,false,false,P2-1,
N9-3,N8-3,500,50,false,false,P3-1,
N9-3,N10-3,500,50,false,false,P3-1,
N10-3,N9-3,500,50,false,false,P3-1,
N10-3,N11-3,500,50,false,false,P3-1,
N11-3,N10-3,500,50,false,false,P3-1,
N11-3,N12-3,500,50,false,false,P3-1,
N12-3,N11-3,500,50,false,false,P4-1,
N12-3,N13-3,500,50,false,false,P4-1,
N13-3,N12-3,500,50,false,false,P4-1,
N13-3,N14-3,500,50,false,false,P4-1,
N14-3,N13-3,500,50,false,false,P4-1,
N14-3,N15-3,500,50,false,false,P4-1,
N15-3,N14-3,500,50,false,false,P5-1,
N15-3,N16-3,500,50,false,false,P5-1,
N16-3,N15-3,500,50,false,false,P5-1,
N16-3,N17-3,500,50,false,false,P5-1,
N17-3,N16-3,500,50,false,false,P5-1,
N0-4,N1-4,500,50,false,false,P0-1,
N1-4,N0-4,500,50,false,false,P0-1,
N1-4,N2-4,500,50,false,false,P0-1,
N2-4,N1-4,500,50,false,false,P0-1,
N2-4,N3-4,500,50,false,false,P0-1,
N3-4,N2-4,500,50,false,false,P1-1,
N3-4,N4-4,500,50,false,false,P1-1,
N4-4,N3-4,500,50,false,false,P1-1,
N4-4,N5-4,500,50,false,false,P1-1,
N5-4,N4-4,500,50,false,false,P1-1,
N5-4,N6-4,500,50,false,false,P1-1,
N6-4,N5-4,500,50,false,false,P2-1,
N6-4,N7-4,500,50,false,false,P2-1,
N7-4,N6-4,500,50,false,false,P2-1,
N7-4,N8-4,500,50,false,false,P2-1,
N8-4,N7-4,500,50,false,false,P2-1,
N8-4,N9-4,500,50,false,false,P2-1,
N9-4,N8-4,500,50,false,false,P3-1,
N9-4,N10-4,500,50,false,false,P3-1,
N10-4,N9-4,500,50,false,false,P3-1,
N10-4,N11-4,500,50,false,false,P3-1,
N11-4,N10-4,500,50,false,false,P3-1,
N11-4,N12-4,500,50,false,false,P3-1,
N12-4,N11-4,500,50,false,false,P4-1,
N12-4,N13-4,500,50,false,false,P4-1,
N13-4,N12-4,500,50,false,false,P4-1,
N13-4,N14-4,500,50,false,false,P4-1,
N14-4,N13-4,500,50,false,false,P4-1,
N14-4,N15-4,500,50,false,false,P4-1,
N15-4,N14-4,500,50,false,false,P5-1,
N15-4,N16-4,500,50,false,false,P5-1,
N16-4,N15-4,500,50,false,false,P5-1,
N16-4,N17-4,500,50,false,false,P5-1,
N17-4,N16-4,500,50,false,false,P5-1,
N0-5,N1-5,500,50,false,false,P0-1,
N1-5,N0-5,500,50,false,false,P0-1,
N1-5,N2-5,500,50,false,false,P0-1,
N2-5,N1-5,500,50,false,false,P0-1,
N2-5,N3-5,500,50,false,false,P0-1,
N3-5,N2-5,500,50,false,false,P1-1,
N3-5,N4-5,500,50,false,false,P1-1,
N4-5,N3-5,500,50,false,false,P1-1,
N4-5,N5-5,500,50,false,false,P1-1,
N5-5,N4-5,500,50,false,false,P1-1,
N5-5,N6-5,500,50,false,false,P1-1,
N6-5,N5-5,500,50,false,false,P2-1,
N6-5,N7-5,500,50,false,false,P2-1,
N7-5,N6-5,500,50,false,false,P2-1,
N7-5,N8-5,500,50,false,false,P2-1,
N8-5,N7-5,500,50,false,false,P2-1,
N8-5,N9-5,500,50,false,false,P2-1,
N9-5,N8-5,500,50,false,false,P3-1,
N9-5,N10-5,500,50,false,false,P3-1,
N10-5,N9-5,500,50,false,false,P3-1,
N10-5,N11-5,500,50,false,false,P3-1,
N11-5,N10-5,500,50,false,false,P3-1,
N11-5,N12-5,500,50,false,false,P3-1,
N12-5,N11-5,500,50,false,false,P4-1,
N12-5,N13-5,500,50,false,false,P4-1,
N13-5,N12-5,500,50,false,false,P4-1,
N13-5,N14-5,500,50,false,false,P4-1,
N14-5,N13-5,500,50,false,false,P4-1,
N14-5,N15-5,500,50,false,false,P4-1,
N15-5,N14-5,500,50,false,false,P5-1,
N15-5,N16-5,500,50,false,false,P5-1,
N16-5,N15-5,500,50,false,false,P5-1,
N16-5,N17-5,500,50,false,false,P5-1,
N17-5,N16-5,500,50,false,false,P5-1,
N0-6,N1-6,500,50,false,false,P0-2,
N1-6,N0-6,500,50,false,false,P0-2,
N1-6,N2-6,500,50,false,false,P0-2,
N2-6,N1-6,500,50,false,false,P0-2,
N2-6,N3-6,500,50,false,false,P0-2,
N3-6,N2-6,500,50,false,false,P1-2,
N3-6,N4-6,500,50,false,false,P1-2,
N4-6,N3-6,500,50,false,false,P1-2,
N4-6,N5-6,500,50,false,false,P1-2,
N5-6,N4-6,500,50,false,false,P1-2,
N5-6,N6-6,500,50,false,false,P1-2,
N6-6,N5-6,500,50,false,false,P2-2,
N6-6,N7-6,500,50,false,false,P2-2,
N7-6,N6-6,500,50,false,false,P2-2,
N7-6,N8-6,500,50,false,false,P2-2,
N8-6,N7-6,500,50,false,false,P2-2,
N8-6,N9-6,500,50,false,false,P2-2,
N9-6,N8-6,500,50,false,false,P3-2,
N9-6,N10-6,500,50,false,false,P3-2,
N10-6,N9-6,500,50,false,false,P3-2,
N10-6,N11-6,500,50,false,false,P3-2,
N11-6,N10-6,500,50,false,false,P3-2,
N11-6,N12-6,500,50,false,false,P3-2,
N12-6,N11-6,500,50,false,false,P4-2,
N12-6,N13-6,500,50,false,false,P4-2,
N13-6,N12-6,500,50,false,false,P4-2,
N13-6,N14-6,500,50,false,false,P4-2,
N14-6,N13-6,500,50,false,false,P4-2,
N14-6,N15-6,500,50,false,false,P4-2,
N15-6,N14-6,500,50,false,false,P5-2,
N15-6,N16-6,500,50,false,false,P5-2,
N16-6,N15-6,500,50,false,false,P5-2,
N16-6,N17-6,500,50,false,false,P5-2,
N17-6,N16-6,500,50,false,false,P5-2,
N0-7,N1-7,500,50,false,false,P0-2,
N1-7,N0-7,500,50,false,false,P0-2,
N1-7,N2-7,500,50,false,false,P0-2,
N2-7,N1-7,500,50,false,false,P0-2,
N2-7,N3-7,500,50,false,false,P0-2,
N3-7,N2-7,500,50,false,false,P1-2,
N3-7,N4-7,500,50,false,false,P1-2,
N4-7,N3-7,500,50,false,false,P1-2,
N4-7,N5-7,500,50,false,false,P1-2,
N5-7,N4-7,500,50,false,false,P1-2,
N5-7,N6-7,500,50,false,false,P1-2,
N6-7,N5-7,500,50,false,false,P2-2,
N6-7,N7-7,500,50,false,false,P2-2,
N7-7,N6-7,500,50,false,false,P2-2,
N7-7,N8-7,500,50,false,false,P2-2,
N8-7,N7-7,500,50,false,false,P2-2,
N8-7,N9-7,500,50,false,false,P2-2,
N9-7,N8-7,500,50,false,false,P3-2,
N9-7,N10-7,500,50,false,false,P3-2,
N10-7,N9-7,500,50,false,false,P3-2,
N10-7,N11-7,500,50,false,false,P3-2,
N11-7,N10-7,500,50,false,false,P3-2,
N11-7,N12-7,500,50,false,false,P3-2,
N12-7,N11-7,500,50,false,false,P4-2,
N12-7,N13-7,500,50,false,false,P4-2,
N13-7,N12-7,500,50,false,false,P4-2,
N13-7,N14-7,500,50,false,false,P4-2,
N14-7,N13-7,500,50,false,false,P4-2,
N14-7,N15-7,500,50,false,false,P4-2,
N15-7,N14-7,500,50,false,false,P5-2,
N15-7,N16-7,500,50,false,false,P5-2,
N16-7,N15-7,500,50,false,false,P5-2,
N16-7,N17-7,500,50,false,false,P5-2,
N17-7,N16-7,500,50,false,false,P5-2,
N0-8,N1-8,500,50,false,false,P0-2,
N1-8,N0-8,500,50,false,false,P0-2,
N1-8,N2-8,500,50,false,false,P0-2,
N2-8,N1-8,500,50,false,false,P0-2,
N2-8,N3-8,500,50,false,false,P0-2,
N3-8,N2-8,500,50,false,false,P1-2,
N3-8,N4-8,500,50,false,false,P1-2,
N4-8,N3-8,500,50,false,false,P1-2,
N4-8,N5-8,500,50,false,false,P1-2,
N5-8,N4-8,500,50,false,false,P1-2,
N5-8,N6-8,500,50,false,false,P1-2,
N6-8,N5-8,500,50,false,false,P2-2,
N6-8,N7-8,500,50,false,false,P2-2,
N7-8,N6-8,500,50,false,false,P2-2,
N7-8,N8-8,500,50,false,false,P2-2,
N8-8,N7-8,500,50,false,false,P2-2,
N8-8,N9-8,500,50,false,false,P2-2,
N9-8,N8-8,500,50,false,false,P3-2,
N9-8,N10-8,500,50,false,false,P3-2,
N10-8,N9-8,500,50,false,false,P3-2,
N10-8,N11-8,500,50,false,false,P3-2,
N11-8,N10-8,500,50,false,false,P3-2,
N11-8,N12-8,500,50,false,false,P3-2,
N12-8,N11-8,500,50,false,false,P4-2,
N12-8,N13-8,500,50,false,false,P4-2,
N13-8,N12-8,500,50,false,false,P4-2,
N13-8,N14-8,500,50,false,false,P4-2,
N14-8,N13-8,500,50,false,false,P4-2,
N14-8,N15-8,500,50,false,false,P4-2,
N15-8,N14-8,500,50,false,false,P5-2,
N15-8,N16-8,500,50,false,false,P5-2,
N16-8,N15-8,500,50,false,false,P5-2,
N16-8,N17-8,500,50,false,false,P5-2,
N17-8,N16-8,500,50,false,false,P5-2,
N0-0,N0-8,500,50,false,false,P0-0,
N0-8,N0-0,500,50,false,false,P0-2,
N1-0,N1-8,500,50,false,false,P0-0,
N1-8,N1-0,500,50,false,false,P0-2,
N2-0,N2-8,500,50,false,false,P0-0,
N2-8,N2-0,500,50,false,false,P0-2,
N3-0,N3-8,500,50,false,false,P1-0,
N3-8,N3-0,500,50,false,false,P1-2,
N4-0,N4-8,500,50,false,false,P1-0,
N4-8,N4-0,500,50,false,false,P1-2,
N5-0,N5-8,500,50,false,false,P1-0,
N5-8,N5-0,500,50,false,false,P1-2,
N6-0,N6-8,500,50,false,false,P2-0,
N6-8,N6-0,500,50,false,false,P2-2,
N7-0,N7-8,500,50,false,false,P2-0,
N7-8,N7-0,500,50,false,false,P2-2,
N8-0,N8-8,500,50,false,false,P2-0,
N8-8,N8-0,500,50,false,false,P2-2,
N9-0,N9-8,500,50,false,false,P3-0,
N9-8,N9-0,500,50,false,false,P3-2,
N10-0,N10-8,500,50,false,false,P3-0,
N10-8,N10-0,500,50,false,false,P3-2,
N11-0,N11-8,500,50,false,false,P3-0,
N11-8,N11-0,500,50,false,false,P3-2,
N12-0,N12-8,500,50,false,false,P4-0,
N12-8,N12-0,500,50,false,false,P4-2,
N13-0,N13-8,500,50,false,false,P4-0,
N13-8,N13-0,500,50,false,false,P4-2,
N14-0,N14-8,500,50,false,false,P4-0,
N14-8,N14-0,500,50,false,false,P4-2,
N15-0,N15-8,500,50,false,false,P5-0,
N15-8,N15-0,500,50,false,false,P5-2,
N16-0,N16-8,500,50,false,false,P5-0,
N16-8,N16-0,500,50,false,false,P5-2,
N17-0,N17-8,500,50,false,false,P5-0,
N17-8,N17-0,500,50,false,false,P5-2,
